ARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,countries,products,elements,,,,2010A,2011A,2012A,2013A,2014A,2015A,2016A,2017A,2018A,2019A,2020A,2021A,2022A,2023A,2024A,2025A,2026A,2027A,2028A,2029A,2030A
ALB_EG_fo..pc,Albania,Eggs,Per-capita food consumption [kg/p/year],ALB,EG,FO..PC,7.699518199,8.186382673,14.4851361,13.72445824,13.9298504,15.23260193,15.37950246,14.75987419,15.13929995,15.48630386,15.81166412,16.12145693,16.45629255,16.79355546,17.15457366,17.52220712,17.90261248,18.29131475,18.69523489,19.10962421,19.53655118
ALB_FH_fo..pc,Albania,Fish,Per-capita food consumption [kg/p/year],ALB,FH,FO..PC,6.140573377,6.25142332,7.690307088,7.646961252,7.48810713,8.275511984,8.613973187,9.607195229,10.45691024,10.21861553,11.06940683,10.87969306,10.93588055,10.98491503,10.9946729,10.97789812,10.92164685,10.90809795,10.91265132,10.91599899,10.89983278
ALB_MA_fo..pc,Albania,Maize,Per-capita food consumption [kg/p/year],ALB,MA,FO..PC,7.141582098,7.175417588,7.191684615,7.194298759,7.189872791,7.183534393,7.176180247,7.166778064,7.156578697,7.14667848,7.210503808,7.260514198,7.313500042,7.365288365,7.416952774,7.468191964,7.518887098,7.569204516,7.619550933,7.669625478,7.720042454
ALB_MK_fo..pc,Albania,Milk,Per-capita food consumption [kg/p/year],ALB,MK,FO..PC,34.12018815,35.35073238,35.17967095,35.74984405,35.13188062,35.22914631,35.84476996,36.09780977,36.36711911,36.70968609,37.00268429,37.26128983,37.54721448,37.86481754,38.20345656,38.55834593,38.92650564,39.31221487,39.72031892,40.14245719,40.58365058
ALB_OCG_fo..pc,Albania,Other Coarse Grains,Per-capita food consumption [kg/p/year],ALB,OCG,FO..PC,0.000183641,0.000184511,0.000184929,0.000184996,0.000184882,0.000184719,0.00018453,0.000184289,0.000184026,0.000183772,0.00018413,0.00018477,0.000185572,0.000186242,0.000187076,0.000187926,0.000188785,0.000189667,0.000190555,0.00019145,0.000192351
ALB_OOS_fo..pc,Albania,Other Oilseeds,Per-capita food consumption [kg/p/year],ALB,OOS,FO..PC,0.102199441,0.102683643,0.102916431,0.102953841,0.102890503,0.102799798,0.102694557,0.102560007,0.102414049,0.102272372,0.103663475,0.104776759,0.106091255,0.107477814,0.108822912,0.110214434,0.111638893,0.113106869,0.114593827,0.116107573,0.117648947
ALB_PK_fo..pc,Albania,Pork,Per-capita food consumption [kg/p/year],ALB,PK,FO..PC,7.440304274,7.536785285,7.467845304,7.649800646,6.473898411,6.349697087,6.070638422,6.592343739,6.98345765,6.643007806,6.58685568,6.637144018,6.668420409,6.696488437,6.729846533,6.758583364,6.789211842,6.820034839,6.851248563,6.886786147,6.921140325
ALB_PS_fo..pc,Albania,Pulses,Per-capita food consumption [kg/p/year],ALB,PS,FO..PC,5.351085443,5.434524606,5.830401455,5.855474019,6.454082703,6.691147373,6.934530198,7.183269461,7.438620683,7.70185399,7.775474653,7.868321259,7.956663257,8.047695561,8.138713486,8.230182762,8.321286096,8.413272916,8.504693329,8.596103378,8.68801918
ALB_PT_fo..pc,Albania,Poultry,Per-capita food consumption [kg/p/year],ALB,PT,FO..PC,14.1807335,13.01907767,13.18513183,12.96299583,12.28821159,11.94457575,12.868839,12.52486611,12.46440864,13.44657766,13.83910807,14.16474447,14.50420989,14.88209173,15.27016556,15.67561233,16.09213252,16.51847388,16.96371221,17.42056804,17.89301947
ALB_RI_fo..pc,Albania,Rice,Per-capita food consumption [kg/p/year],ALB,RI,FO..PC,7.039559496,6.628719105,6.780731208,6.885971669,7.173438796,7.628229379,7.825453698,8.002902172,8.114197084,7.997473537,8.081615807,8.169445527,8.260404725,8.347098427,8.43486616,8.524742479,8.615138612,8.707017357,8.800602514,8.896121171,8.991776102
ALB_RT_fo..pc,Albania,Roots tubers,Per-capita food consumption [kg/p/year],ALB,RT,FO..PC,8.69368594,8.811587219,9.086179819,9.064987229,9.331016903,9.602474651,9.880423431,10.16350251,10.45350951,10.75221985,10.85222633,10.97332577,11.09487749,11.21979011,11.34615473,11.47440012,11.60119711,11.73136713,11.85964575,11.99049127,12.11931165
ALB_SH_fo..pc,Albania,Sheep,Per-capita food consumption [kg/p/year],ALB,SH,FO..PC,6.5651544,6.7632411,7.147507123,7.224103711,7.663685408,8.095022286,8.101804983,8.071225456,8.141017215,8.129755153,8.203694655,8.173702068,8.178928204,8.18397161,8.187500374,8.193112675,8.198224608,8.209427893,8.225505955,8.242036279,8.263298645
ALB_SU_fo..pc,Albania,Sugar,Per-capita food consumption [kg/p/year],ALB,SU,FO..PC,26.52587636,26.65155104,27.0544326,27.40685242,27.38999159,27.36584531,27.33782951,27.30201167,27.6039464,27.56575985,27.73284461,27.93146975,28.14666398,28.33692899,28.53890552,28.75485667,28.99446387,29.22668909,29.44979551,29.68189057,29.91858117
ALB_VL_fo..pc,Albania,Vegetable oils,Per-capita food consumption [kg/p/year],ALB,VL,FO..PC,4.418560325,4.644274183,4.681421778,5.257247691,4.862628788,4.927946678,5.00675908,4.921220147,4.938918131,4.941893253,4.973625904,5.045810351,5.124558219,5.206003578,5.287655862,5.36788702,5.451541206,5.536950171,5.623789388,5.712202468,5.802146019
ALB_WT_fo..pc,Albania,Wheat,Per-capita food consumption [kg/p/year],ALB,WT,FO..PC,172.7582717,172.8933952,172.9428919,173.0057559,172.8993219,173.4310446,171.5448802,174.7328747,146.2988712,171.5202835,170.1086237,170.3444364,170.547398,170.6709384,170.8184236,170.9630866,171.1204562,171.285221,171.4680065,171.6501696,171.8539021
ARE_BT_fo..pc,United Arab Emirates,Butter,Per-capita food consumption [kg/p/year],ARE,BT,FO..PC,2.032745396,1.759831039,1.897880901,2.496929166,2.598208034,2.52198372,2.464828005,2.67963965,2.364065145,2.452880026,2.480304513,2.468154559,2.45321158,2.43968202,2.42890051,2.419587138,2.410829754,2.402677165,2.395053369,2.387717365,2.380565068
ARE_BV_fo..pc,United Arab Emirates,Beef and Veal,Per-capita food consumption [kg/p/year],ARE,BV,FO..PC,8.362319658,9.052687213,10.67217575,10.70255257,11.23427318,11.9010606,11.58318131,11.41637766,11.31739201,12.42087465,12.5148013,12.57432711,12.68159943,12.79740628,12.92852787,13.05795368,13.18373582,13.30083422,13.40354298,13.5049246,13.61569819
