ARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OUTPUT,0",countries,products,elements,,,,2010A,2011A,2012A,2013A,2014A,2015A,2016A,2017A,2018A,2019A,2020A,2021A,2022A,2023A,2024A,2025A,2026A,2027A,2028A,2029A,2030A
ALB_RT_fo..pc,Albania,Roots tubers,Per-capita food consumption [kg/p/year],ALB,RT,FO..PC,8.69368594,8.811587219,9.086179819,9.064987229,9.331016903,9.602474651,9.880423431,10.16350251,10.45350951,10.75221985,10.85231376,10.97410665,11.0958729,11.22062199,11.34708594,11.47538558,11.60242951,11.73260474,11.86106851,11.99150018,12.12027852
ALB_SH_fo..pc,Albania,Sheep,Per-capita food consumption [kg/p/year],ALB,SH,FO..PC,6.5651544,6.7632411,7.147507123,7.224103711,7.663685408,8.095022286,8.101804983,8.071225456,8.141017215,8.129755153,8.205296868,8.16880157,8.173658426,8.176149216,8.177332961,8.179984989,8.182702644,8.191721014,8.20448585,8.218761761,8.238099128
ALB_SU_fo..pc,Albania,Sugar,Per-capita food consumption [kg/p/year],ALB,SU,FO..PC,26.52587636,26.65155104,27.0544326,27.40685242,27.38999159,27.36584531,27.33782951,27.30201167,27.6039464,27.56575985,27.72983534,27.92804223,28.14280001,28.33248037,28.5337537,28.74869068,28.98698782,29.21796957,29.44031571,29.67167729,29.90712654
ALB_VL_fo..pc,Albania,Vegetable oils,Per-capita food consumption [kg/p/year],ALB,VL,FO..PC,4.418560325,4.644274183,4.681421778,5.257247691,4.862628788,4.927946678,5.00675908,4.921220147,4.938918131,4.941893253,4.968490945,5.039780106,5.117848646,5.199000428,5.280367048,5.360051891,5.442909168,5.527624186,5.613919954,5.701964743,5.791340744
ALB_WT_fo..pc,Albania,Wheat,Per-capita food consumption [kg/p/year],ALB,WT,FO..PC,172.7582717,172.8933952,172.9428919,173.0057559,172.8993219,173.4310446,171.5448802,174.7328747,146.2988712,171.5202835,170.1016009,170.3360418,170.5356377,170.65791,170.8011739,170.9420847,171.0955156,171.2561588,171.4350885,171.6142153,171.8124226
ARE_BT_fo..pc,United Arab Emirates,Butter,Per-capita food consumption [kg/p/year],ARE,BT,FO..PC,2.032745396,1.759831039,1.897880901,2.496929166,2.598208034,2.52198372,2.464828005,2.67963965,2.364065145,2.452880026,2.481153263,2.46892742,2.454046628,2.440594163,2.429799345,2.420446447,2.411693067,2.403559819,2.395939736,2.388567364,2.381389011
ARE_BV_fo..pc,United Arab Emirates,Beef and Veal,Per-capita food consumption [kg/p/year],ARE,BV,FO..PC,8.362319658,9.052687213,10.67217575,10.70255257,11.23427318,11.9010606,11.58318131,11.41637766,11.31739201,12.42087465,12.51650489,12.57171154,12.67477807,12.78849736,12.917732,13.04553025,13.16900071,13.28341024,13.38362488,13.48232684,13.59107293
ARE_EG_fo..pc,United Arab Emirates,Eggs,Per-capita food consumption [kg/p/year],ARE,EG,FO..PC,2.913314842,2.631867031,3.947446874,4.02361243,4.652799563,4.67240594,4.575342399,4.527051435,4.616410627,4.737525851,4.695756132,4.656066722,4.611366752,4.564782846,4.528365633,4.492678383,4.460215675,4.429147458,4.401005344,4.374104059,4.347350352
ARE_FH_fo..pc,United Arab Emirates,Fish,Per-capita food consumption [kg/p/year],ARE,FH,FO..PC,25.38334872,25.16328954,26.39778953,26.1386844,28.81998027,28.28034261,29.84757626,29.84250849,31.1239208,31.24957082,32.14444405,31.92949053,32.23170859,32.60079177,32.93479922,33.34245058,33.65994373,34.11199436,34.54576244,34.96871718,35.3917732
ARE_MA_fo..pc,United Arab Emirates,Maize,Per-capita food consumption [kg/p/year],ARE,MA,FO..PC,0.60454495,0.576536712,0.561769152,0.666203086,0.661458257,0.764667823,0.755155639,0.744669401,0.733628409,0.722984554,0.717586539,0.706891208,0.694870833,0.682238925,0.670937534,0.661019141,0.652693272,0.645654416,0.639629344,0.634177817,0.629034682
