"country","iso3","sex_id","age_id","cause","DALY2030","DALY2030_all","deltaDALY2030_all_hr","DALY2030_all_hr"
"Afghanistan","AFG",2,6,493,0,0,0,0
"Afghanistan","AFG",2,6,495,521.662214645687,0,0,0
"Afghanistan","AFG",2,6,496,0,0,0,0
"Afghanistan","AFG",2,6,497,0,0,0,0
"Afghanistan","AFG",2,6,976,0,0,0,0
"Afghanistan","AFG",2,7,429,0,0,0,0
"Afghanistan","AFG",2,7,441,83.0107025145109,0,0,0
"Afghanistan","AFG",2,7,493,0,0,0,0
"Afghanistan","AFG",2,7,495,875.428642038733,0,0,0
"Afghanistan","AFG",2,7,496,348.529872618438,0,0,0
"Afghanistan","AFG",2,7,497,150.594826323964,0,0,0
"Afghanistan","AFG",2,7,976,0,0,0,0
"Afghanistan","AFG",2,8,429,1076.40704872187,0,0,0
"Afghanistan","AFG",2,8,441,333.122262508895,0,0,0
"Afghanistan","AFG",2,8,493,6166.90001377627,0,0,0
"Afghanistan","AFG",2,8,495,2854.59060684014,0,0,0
"Afghanistan","AFG",2,8,496,3828.97356133268,0,0,0
"Afghanistan","AFG",2,8,497,681.5117161668,0,0,0
"Afghanistan","AFG",2,8,976,2036.50583677889,0,0,0
"Afghanistan","AFG",2,9,429,1994.80307856549,0,0,0
"Afghanistan","AFG",2,9,441,763.688852463474,0,0,0
"Afghanistan","AFG",2,9,493,10128.1834207822,0,0,0
"Afghanistan","AFG",2,9,495,4672.59650556589,0,0,0
"Afghanistan","AFG",2,9,496,7657.65612249384,0,0,0
"Afghanistan","AFG",2,9,497,1502.65870524312,0,0,0
"Afghanistan","AFG",2,9,976,5472.11499310591,0,0,0
"Afghanistan","AFG",2,10,429,2752.90293867539,7.93661741155525,0.000116607757511443,7.93673401931276
"Afghanistan","AFG",2,10,441,995.713222961797,13.2897704144087,0.000335883462714212,13.2901062978714
"Afghanistan","AFG",2,10,493,7656.5750333051,53.7908347828142,0.0025688661606476,53.7934036489748
"Afghanistan","AFG",2,10,495,4239.78349333334,151.350400820284,0.0198355744239816,151.370236394708
"Afghanistan","AFG",2,10,496,2728.25745998044,32.9530464019893,0.00285028526224094,32.9558966872515
"Afghanistan","AFG",2,10,497,702.003750625455,8.47909792534645,0.000733402537625589,8.47983132788407
"Afghanistan","AFG",2,10,976,6563.79731812897,54.6345321297097,0.0021511907845569,54.6366833204943
"Afghanistan","AFG",2,11,429,2135.66349484186,5.59330123315974,8.23276513871901e-05,5.59338356081113
"Afghanistan","AFG",2,11,441,797.021404806764,10.488984667703,0.000264763389531799,10.4892494310925
"Afghanistan","AFG",2,11,493,0,0,0,0
"Afghanistan","AFG",2,11,495,1635.78816647977,54.8293726204207,0.00703354471236674,54.836406165133
