,countries,products,elements,country_codes,,product_codes,,ele_codes,,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_2021,_2022,_2023,_2024,_2025,_2026,_2027,_2028,_2029,_2030
ALB_MA_FO..PC,Albania,Maize and products,Per-capita food consumption [kg/p/d],3,ALB,1,MA,211,FO..PC,7.214015803,7.292345575,7.294049858,7.311497803,7.307015986,7.300539611,7.337262599,7.342302525,7.375980535,6.940237999,6.975629286,6.997554719,7.022887978,7.047606746,7.07210584,7.095959306,7.119134602,7.142047109,7.16518461,7.188416649,7.212446503
ALB_MK_FO..PC,Albania,Milk and Dairy,Per-capita food consumption [kg/p/d],3,ALB,18,MK,211,FO..PC,36.73408031,36.57738699,36.00370087,36.38036176,36.16384103,36.23947595,36.335732,37.11106321,36.61089806,36.4668662,36.48353597,36.45748483,36.45496117,36.48042897,36.50292071,36.53404103,36.57084363,36.61809949,36.68047233,36.75061954,36.8334228
ALB_OCG_FO..PC,Albania,Other Coarse Grains,Per-capita food consumption [kg/p/d],3,ALB,3,OCG,211,FO..PC,0.000175077,0.0001765,0.00018159,0.000185536,0.000184705,0.00018438,0.000185141,0.000184461,0.00018454,0.000183262,0.000182478,0.000181958,0.000181602,0.000181115,0.000180704,0.00018027,0.000179809,0.000179345,0.00017887,0.000178391,0.000177916
ALB_OOS_FO..PC,Albania,Other Oilseeds,Per-capita food consumption [kg/p/d],3,ALB,10,OOS,211,FO..PC,0.064145569,0.068590458,0.066952404,0.074969102,0.075782483,0.07077049,0.071555905,0.087238013,0.10137748,0.103328894,0.104226765,0.104844323,0.105663686,0.106552787,0.107376313,0.10822751,0.109094154,0.109992109,0.110899484,0.111827157,0.112778774
ALB_PK_FO..PC,Albania,Ovine,Per-capita food consumption [kg/p/d],3,ALB,16,PK,211,FO..PC,6.16757969,6.767644135,6.825254902,7.027805236,6.272956148,6.142758786,6.399371574,6.649802945,6.853557534,6.771349784,6.665041465,6.666415093,6.648423893,6.627326069,6.608112418,6.583815653,6.56090044,6.53793713,6.515226886,6.496624955,6.477000897
ALB_PS_FO..PC,Albania,Pork,Per-capita food consumption [kg/p/d],3,ALB,6,PS,211,FO..PC,9.400700822,9.731515356,7.663374754,7.866378563,7.860212392,7.787334641,7.71953864,7.65565837,7.596978943,7.544587818,7.595003593,7.66377272,7.728607138,7.796487196,7.864683715,7.933468587,8.002079689,8.071758177,8.141182006,8.210972878,8.281697387
ALB_PT_FO..PC,Albania,Poultry,Per-capita food consumption [kg/p/d],3,ALB,17,PT,211,FO..PC,9.600256241,10.20620366,11.08021729,11.21919836,11.99734941,11.86058346,12.13457142,12.82221708,12.73596926,13.16585096,13.43845104,13.63799694,13.84553349,14.08446789,14.31859738,14.56129623,14.80638643,15.05292518,15.30911591,15.56836485,15.83422808
ALB_RI_FO..PC,Albania,Pulses,Per-capita food consumption [kg/p/d],3,ALB,4,RI,211,FO..PC,8.229124039,7.833277673,7.677689706,7.870263574,8.162705838,8.029628665,7.743002225,7.788382913,8.068358588,8.043168925,8.100762858,8.161470153,8.225289431,8.284795848,8.343800937,8.403915805,8.463591158,8.524035954,8.585579918,8.648637939,8.711605918
ALB_RT_FO..PC,Albania,Rice and products,Per-capita food consumption [kg/p/d],3,ALB,5,RT,211,FO..PC,10.93235254,10.99145418,10.76929158,10.79990874,10.76864971,10.73118104,10.69417977,10.65650017,10.62004171,10.58621803,10.63432556,10.69993015,10.76585713,10.83464569,10.90127029,10.96773068,11.03089459,11.09582454,11.1577811,11.22134563,11.28251962
ALB_SB_FO..PC,Albania,Roots and Tubers,Per-capita food consumption [kg/p/d],3,ALB,9,SB,211,FO..PC,0.25662085,0.257836672,0.2584212,0.258515135,0.258356096,0.258128336,0.257864077,0.257526225,0.257159728,0.25680398,0.256489224,0.256247958,0.256096978,0.256027376,0.256019127,0.256057707,0.256148106,0.256305054,0.256534567,0.256844804,0.257242492
