"","iso3","country","nutrient","units","scenario","year","intake_orig","intake","intake_diff","intake_diff_cap"
"124","AUT","Austria","Vitamin B12","ug/p/d","High",2030,0,0,0,0
"125","AUT","Austria","Zinc","mg/p/d","Base",2030,0,0,0,0
"126","AUT","Austria","Zinc","mg/p/d","High",2030,0,0,0,0
"127","AZE","Azerbaijan","Calcium","mg/p/d","Base",2030,1460.864830577,1468.77619751348,7.91136693647991,7.91136693647991
"128","AZE","Azerbaijan","Calcium","mg/p/d","High",2030,1454.964936604,1463.17552463527,8.21058803126994,8.21058803126994
"129","AZE","Azerbaijan","Iron","mg/p/d","Base",2030,58.393278428,58.5753881710183,0.182109743018295,0.182109743018295
"130","AZE","Azerbaijan","Iron","mg/p/d","High",2030,58.299640304,58.4885419533027,0.1889016493027,0.1889016493027
"131","AZE","Azerbaijan","Omega-3 fatty acids","g/p/d","Base",2030,0.408214653,0.522912431006286,0.114697778006286,0.114697778006286
"132","AZE","Azerbaijan","Omega-3 fatty acids","g/p/d","High",2030,0.410733787,0.529851934554462,0.119118147554462,0.119118147554462
"133","AZE","Azerbaijan","Protein","g/p/d","Base",2030,192.418984538,191.032871554228,-1.38611298377199,-1.38611298377199
"134","AZE","Azerbaijan","Protein","g/p/d","High",2030,191.882211727,190.424327195412,-1.45788453158801,-1.45788453158801
"135","AZE","Azerbaijan","Vitamin A","mg/p/d retinol","Base",2030,1812.179265378,1814.38280840722,2.20354302921987,2.20354302921987
"136","AZE","Azerbaijan","Vitamin A","mg/p/d retinol","High",2030,1805.311909929,1807.58687294066,2.27496301166002,2.27496301166002
"137","AZE","Azerbaijan","Vitamin B12","ug/p/d","Base",2030,14.397974755,14.6484024156613,0.2504276606613,0.2504276606613
"138","AZE","Azerbaijan","Vitamin B12","ug/p/d","High",2030,14.329375374,14.5889025432214,0.2595271692214,0.2595271692214
"139","AZE","Azerbaijan","Zinc","mg/p/d","Base",2030,20.107871403,20.2094107041639,0.1015393011639,0.1015393011639
"140","AZE","Azerbaijan","Zinc","mg/p/d","High",2030,20.018791877,20.1240070861767,0.105215209176698,0.105215209176698
"141","BHS","Bahamas","Calcium","mg/p/d","Base",2030,855.114185021,999.158756638101,144.044571617101,144.044571617101
"142","BHS","Bahamas","Calcium","mg/p/d","High",2030,856.504757444,1002.21533297431,145.71057553031,145.71057553031
"143","BHS","Bahamas","Iron","mg/p/d","Base",2030,26.266071178,29.6576646983403,3.3915935203403,3.3915935203403
"144","BHS","Bahamas","Iron","mg/p/d","High",2030,26.297768601,29.727242901377,3.429474300377,3.429474300377
"145","BHS","Bahamas","Omega-3 fatty acids","g/p/d","Base",2030,1.325587229,3.50050204527624,2.17491481627624,2.17491481627624
"146","BHS","Bahamas","Omega-3 fatty acids","g/p/d","High",2030,1.343807975,3.55541062080509,2.21160264580509,2.21160264580509
"147","BHS","Bahamas","Protein","g/p/d","Base",2030,127.028358611,124.445215447124,-2.583143163876,-2.583143163876
"148","BHS","Bahamas","Protein","g/p/d","High",2030,128.467962047,125.157931807597,-3.31003023940299,-3.31003023940299
"149","BHS","Bahamas","Vitamin A","mg/p/d retinol","Base",2030,1489.564457269,1540.76587802361,51.2014207546099,51.2014207546099
"150","BHS","Bahamas","Vitamin A","mg/p/d retinol","High",2030,1487.374382106,1538.48210665759,51.1077245515901,51.1077245515901
"151","BHS","Bahamas","Vitamin B12","ug/p/d","Base",2030,11.784565599,16.9049187248527,5.1203531258527,5.1203531258527
"152","BHS","Bahamas","Vitamin B12","ug/p/d","High",2030,11.961403469,17.1082317372947,5.1468282682947,5.1468282682947
"153","BHS","Bahamas","Zinc","mg/p/d","Base",2030,14.862730507,16.9951159322112,2.1323854252112,2.1323854252112
"154","BHS","Bahamas","Zinc","mg/p/d","High",2030,14.894589453,17.0416689785698,2.1470795255698,2.1470795255698
"155","BGD","Bangladesh","Calcium","mg/p/d","Base",2030,661.508369635,661.508369635,0,0
"156","BGD","Bangladesh","Calcium","mg/p/d","High",2030,666.161234662,666.161234662,0,0
"157","BGD","Bangladesh","Iron","mg/p/d","Base",2030,25.289389341,25.289389341,0,0
"158","BGD","Bangladesh","Iron","mg/p/d","High",2030,25.373771899,25.373771899,0,0
"159","BGD","Bangladesh","Omega-3 fatty acids","g/p/d","Base",2030,1.952122526,1.952122526,0,0
"160","BGD","Bangladesh","Omega-3 fatty acids","g/p/d","High",2030,1.994427983,1.994427983,0,0
"161","BGD","Bangladesh","Protein","g/p/d","Base",2030,137.213824443,137.213824443,0,0
"162","BGD","Bangladesh","Protein","g/p/d","High",2030,138.558870862,138.558870862,0,0
"163","BGD","Bangladesh","Vitamin A","mg/p/d retinol","Base",2030,590.795692245,590.795692245,0,0
"164","BGD","Bangladesh","Vitamin A","mg/p/d retinol","High",2030,594.98406902,594.98406902,0,0
"165","BGD","Bangladesh","Vitamin B12","ug/p/d","Base",2030,4.294718706,4.294718706,0,0
"166","BGD","Bangladesh","Vitamin B12","ug/p/d","High",2030,4.427508758,4.427508758,0,0
"167","BGD","Bangladesh","Zinc","mg/p/d","Base",2030,19.008444028,19.008444028,0,0
