"iso3c","year","units","scenario","nutrient","nutrient_supply_dis","nutrient_supply"
"AFG","2023","mg/p/d retinol","base","Vitamin A",205.792395269743,206.063141496
"AFG","2023","mg/p/d retinol","high","Vitamin A",205.968385983148,206.244667452
"AFG","2023","ug/p/d","base","Vitamin B12",1.98494532725448,1.977417075
"AFG","2023","ug/p/d","high","Vitamin B12",1.98742584033965,1.979711052
"AFG","2024","g/p/d","base","Omega-3 fatty acids",0.087029406221448,0.081503751
"AFG","2024","g/p/d","base","Protein",53.9868587607866,53.969784127
"AFG","2024","g/p/d","high","Omega-3 fatty acids",0.087125594595996,0.081456147
"AFG","2024","g/p/d","high","Protein",54.0323626907156,54.014729375
"AFG","2024","mg/p/d","base","Calcium",333.206059176513,332.089187123
"AFG","2024","mg/p/d","base","Iron",19.5633905163731,19.557850156
"AFG","2024","mg/p/d","base","Zinc",5.00221992514481,4.991976899
"AFG","2024","mg/p/d","high","Calcium",333.530279052277,332.369323912
"AFG","2024","mg/p/d","high","Iron",19.5767976924551,19.571103449
"AFG","2024","mg/p/d","high","Zinc",5.00669883566952,4.996191836
"AFG","2024","mg/p/d retinol","base","Vitamin A",207.553210719993,207.824661902
"AFG","2024","mg/p/d retinol","high","Vitamin A",207.746950585592,208.025185662
"AFG","2024","ug/p/d","base","Vitamin B12",1.99925612217128,1.991684731
"AFG","2024","ug/p/d","high","Vitamin B12",2.00200632044105,1.99420347
"AFG","2025","g/p/d","base","Omega-3 fatty acids",0.0878511017776701,0.082307633
"AFG","2025","g/p/d","base","Protein",54.2183274224334,54.201128088
"AFG","2025","g/p/d","high","Omega-3 fatty acids",0.0879747275110293,0.082260513
"AFG","2025","g/p/d","high","Protein",54.268048725015,54.250179341
"AFG","2025","mg/p/d","base","Calcium",336.212713737043,335.083347774
"AFG","2025","mg/p/d","base","Iron",19.634105997929,19.62855232
"AFG","2025","mg/p/d","base","Zinc",5.02386661157109,5.013595638
"AFG","2025","mg/p/d","high","Calcium",336.567680218775,335.38527839
"AFG","2025","mg/p/d","high","Iron",19.6487645914941,19.64302749
"AFG","2025","mg/p/d","high","Zinc",5.0287465613208,5.018160654
"AFG","2025","mg/p/d retinol","base","Vitamin A",209.33411269819,209.606205857
"AFG","2025","mg/p/d retinol","high","Vitamin A",209.544086597086,209.824266255
"AFG","2025","ug/p/d","base","Vitamin B12",2.01371516403041,2.006092949
"AFG","2025","ug/p/d","high","Vitamin B12",2.01673814420237,2.008839293
"AFG","2026","g/p/d","base","Omega-3 fatty acids",0.0886443719916399,0.083086675
"AFG","2026","g/p/d","base","Protein",54.456027340509,54.43868873
"AFG","2026","g/p/d","high","Omega-3 fatty acids",0.0887920365443565,0.083036148
"AFG","2026","g/p/d","high","Protein",54.510404472734,54.492286466
"AFG","2026","mg/p/d","base","Calcium",339.229331180645,338.087899765
"AFG","2026","mg/p/d","base","Iron",19.7084230242655,19.70286162
"AFG","2026","mg/p/d","base","Zinc",5.04583990287484,5.035547486
"AFG","2026","mg/p/d","high","Calcium",339.618541266711,338.414877084
"AFG","2026","mg/p/d","high","Iron",19.7245063785181,19.718731162
"AFG","2026","mg/p/d","high","Zinc",5.05117731967931,5.040518159
"AFG","2026","mg/p/d retinol","base","Vitamin A",211.128782352481,211.401465831
"AFG","2026","mg/p/d retinol","high","Vitamin A",211.354671374128,211.636740195
"AFG","2026","ug/p/d","base","Vitamin B12",2.02823879621866,2.020572001
"AFG","2026","ug/p/d","high","Vitamin B12",2.03156175790259,2.023571594
"AFG","2027","g/p/d","base","Omega-3 fatty acids",0.0894106620105096,0.083819736
"AFG","2027","g/p/d","base","Protein",54.7005958607065,54.683044992
"AFG","2027","g/p/d","high","Omega-3 fatty acids",0.0895842496765494,0.083769281
"AFG","2027","g/p/d","high","Protein",54.7594107720857,54.740976961
"AFG","2027","mg/p/d","base","Calcium",342.143517529442,340.983298368
"AFG","2027","mg/p/d","base","Iron",19.7877519745703,19.782164835
"AFG","2027","mg/p/d","base","Zinc",5.06810605889073,5.057757006
"AFG","2027","mg/p/d","high","Calcium",342.565271127421,341.334268694
"AFG","2027","mg/p/d","high","Iron",19.8051019071098,19.799272029
"AFG","2027","mg/p/d","high","Zinc",5.07388691760499,5.063122318
"AFG","2027","mg/p/d retinol","base","Vitamin A",212.897186833493,213.171341755
"AFG","2027","mg/p/d retinol","high","Vitamin A",213.141161836108,213.425929393
"AFG","2027","ug/p/d","base","Vitamin B12",2.04240437835651,2.03465707
"AFG","2027","ug/p/d","high","Vitamin B12",2.04603082988707,2.037916857
"AFG","2028","g/p/d","base","Omega-3 fatty acids",0.0900657371672227,0.084494528
"AFG","2028","g/p/d","base","Protein",54.9479252245408,54.930374635
"AFG","2028","g/p/d","high","Omega-3 fatty acids",0.0902757235684891,0.084444727
"AFG","2028","g/p/d","high","Protein",55.0103469217037,54.991770059
"AFG","2028","mg/p/d","base","Calcium",344.965098244846,343.80393117
"AFG","2028","mg/p/d","base","Iron",19.8702571342963,19.864694822
"AFG","2028","mg/p/d","base","Zinc",5.09027602121959,5.079961995
"AFG","2028","mg/p/d","high","Calcium",345.411706520667,344.16762742
"AFG","2028","mg/p/d","high","Iron",19.8886250498615,19.882781854
"AFG","2028","mg/p/d","high","Zinc",5.09639812168607,5.085602592
"AFG","2028","mg/p/d retinol","base","Vitamin A",214.643142594417,214.916470983
"AFG","2028","mg/p/d retinol","high","Vitamin A",214.90079495704,215.186384363
"AFG","2028","ug/p/d","base","Vitamin B12",2.05611318723699,2.048386332
"AFG","2028","ug/p/d","high","Vitamin B12",2.06000482267515,2.051849199
"AFG","2029","g/p/d","base","Omega-3 fatty acids",0.0906882850987287,0.085111784
"AFG","2029","g/p/d","base","Protein",55.1964691646985,55.178794271
"AFG","2029","g/p/d","high","Omega-3 fatty acids",0.0909339717268209,0.08506727
"AFG","2029","g/p/d","high","Protein",55.2620737451935,55.243252028
"AFG","2029","mg/p/d","base","Calcium",347.670028489493,346.497032315
"AFG","2029","mg/p/d","base","Iron",19.9552631307284,19.949696003
"AFG","2029","mg/p/d","base","Zinc",5.11228430007432,5.101951655
"AFG","2029","mg/p/d","high","Calcium",348.145475517492,346.879354107
"AFG","2029","mg/p/d","high","Iron",19.974608910675,19.968729655
"AFG","2029","mg/p/d","high","Zinc",5.11867639979888,5.10780786
"AFG","2029","mg/p/d retinol","base","Vitamin A",216.352238662268,216.626114436
"AFG","2029","mg/p/d retinol","high","Vitamin A",216.623543860777,216.91103438
"AFG","2029","ug/p/d","base","Vitamin B12",2.06946557318445,2.061711917
"AFG","2029","ug/p/d","high","Vitamin B12",2.07355837722571,2.06532207
"AFG","2030","g/p/d","base","Omega-3 fatty acids",0.0912335375351108,0.085663198
"AFG","2030","g/p/d","base","Protein",55.4409448151506,55.423182236
"AFG","2030","g/p/d","high","Omega-3 fatty acids",0.0915212102143214,0.085622515
"AFG","2030","g/p/d","high","Protein",55.5099307823768,55.490880886
"AFG","2030","mg/p/d","base","Calcium",350.091825501716,348.911932611
"AFG","2030","mg/p/d","base","Iron",20.0435843898471,20.038027089
"AFG","2030","mg/p/d","base","Zinc",5.13321355719632,5.122886964
"AFG","2030","mg/p/d","high","Calcium",350.589977333129,349.304912312
"AFG","2030","mg/p/d","high","Iron",20.0639001379977,20.057988601
"AFG","2030","mg/p/d","high","Zinc",5.13994662622157,5.129013924
"AFG","2030","mg/p/d retinol","base","Vitamin A",217.991616370277,218.265502312
"AFG","2030","mg/p/d retinol","high","Vitamin A",218.272432830002,218.561662905
"AFG","2030","ug/p/d","base","Vitamin B12",2.08159633044115,2.073839869
"AFG","2030","ug/p/d","high","Vitamin B12",2.08595641454989,2.077655016
"AGO","2010","g/p/d","base","Omega-3 fatty acids",1.02557938828097,0.77
"AGO","2010","g/p/d","base","Protein",54.0017702314753,54.1
"AGO","2010","g/p/d","high","Omega-3 fatty acids",1.02557938828097,0.77
"AGO","2010","g/p/d","high","Protein",54.0017702314753,54.1
"AGO","2010","mg/p/d","base","Calcium",416.772257333693,375.09
"AGO","2010","mg/p/d","base","Iron",14.8204314040201,13.83
"AGO","2010","mg/p/d","base","Zinc",7.88507583117661,7.53
"AGO","2010","mg/p/d","high","Calcium",416.772257333693,375.09
"AGO","2010","mg/p/d","high","Iron",14.8204314040201,13.83
"AGO","2010","mg/p/d","high","Zinc",7.88507583117661,7.53
"AGO","2010","mg/p/d retinol","base","Vitamin A",1083.85099356431,1088.82
"AGO","2010","mg/p/d retinol","high","Vitamin A",1083.85099356431,1088.82
"AGO","2010","ug/p/d","base","Vitamin B12",3.42289471486025,2.84
"AGO","2010","ug/p/d","high","Vitamin B12",3.42289471486025,2.84
"AGO","2011","g/p/d","base","Omega-3 fatty acids",1.2144061595558,0.87
"AGO","2011","g/p/d","base","Protein",58.154242066878,56.6
"AGO","2011","g/p/d","high","Omega-3 fatty acids",1.2144061595558,0.87
"AGO","2011","g/p/d","high","Protein",58.154242066878,56.6
"AGO","2011","mg/p/d","base","Calcium",446.730227420958,391.31
"AGO","2011","mg/p/d","base","Iron",15.7265939729048,14.41
"AGO","2011","mg/p/d","base","Zinc",8.26888981916522,7.78
"AGO","2011","mg/p/d","high","Calcium",446.730227420958,391.31
"AGO","2011","mg/p/d","high","Iron",15.7265939729048,14.41
"AGO","2011","mg/p/d","high","Zinc",8.26888981916522,7.78
"AGO","2011","mg/p/d retinol","base","Vitamin A",1131.656781957,1136
"AGO","2011","mg/p/d retinol","high","Vitamin A",1131.656781957,1136
"AGO","2011","ug/p/d","base","Vitamin B12",3.75898091801674,2.91
"AGO","2011","ug/p/d","high","Vitamin B12",3.75898091801674,2.91
"AGO","2012","g/p/d","base","Omega-3 fatty acids",1.30485512997313,0.87
"AGO","2012","g/p/d","base","Protein",59.5158808314336,55.87
"AGO","2012","g/p/d","high","Omega-3 fatty acids",1.30485512997313,0.87
"AGO","2012","g/p/d","high","Protein",59.5158808314336,55.87
"AGO","2012","mg/p/d","base","Calcium",434.593219334319,364.11
"AGO","2012","mg/p/d","base","Iron",15.4876338687457,13.81
"AGO","2012","mg/p/d","base","Zinc",8.26780741097841,7.62
"AGO","2012","mg/p/d","high","Calcium",434.593219334319,364.11
"AGO","2012","mg/p/d","high","Iron",15.4876338687457,13.81
"AGO","2012","mg/p/d","high","Zinc",8.26780741097841,7.62
"AGO","2012","mg/p/d retinol","base","Vitamin A",880.817548092581,884.48
"AGO","2012","mg/p/d retinol","high","Vitamin A",880.817548092581,884.48
"AGO","2012","ug/p/d","base","Vitamin B12",4.21671782625617,3.06
"AGO","2012","ug/p/d","high","Vitamin B12",4.21671782625617,3.06
"AGO","2013","g/p/d","base","Omega-3 fatty acids",1.26257930633628,0.83
"AGO","2013","g/p/d","base","Protein",60.6972781576174,57.07
"AGO","2013","g/p/d","high","Omega-3 fatty acids",1.26257930633628,0.83
"AGO","2013","g/p/d","high","Protein",60.6972781576174,57.07
"AGO","2013","mg/p/d","base","Calcium",452.40529784243,383.25
"AGO","2013","mg/p/d","base","Iron",15.9721734531484,14.33
"AGO","2013","mg/p/d","base","Zinc",8.55683832852231,7.92
"AGO","2013","mg/p/d","high","Calcium",452.40529784243,383.25
"AGO","2013","mg/p/d","high","Iron",15.9721734531484,14.33
"AGO","2013","mg/p/d","high","Zinc",8.55683832852231,7.92
"AGO","2013","mg/p/d retinol","base","Vitamin A",1162.29366045393,1165.83
