,countries,products,elements,country_codes,,product_codes,,ele_codes,,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_2021,_2022,_2023,_2024,_2025,_2026,_2027,_2028,_2029,_2030
ALB_EG_FO..PC,Albania,Eggs,Per-capita food consumption [kg/p/d],3,ALB,20,EG,211,FO..PC,12.72086234,12.44266725,15.75927369,15.69427865,15.76686599,15.82875579,14.96838668,14.79967483,15.14439337,15.4810972,15.6715408,15.84841103,16.04150156,16.2319138,16.4310903,16.63019876,16.83452203,17.04010561,17.25429852,17.47218997,17.69364207
ALB_FH_FO..PC,Albania,Fish,Per-capita food consumption [kg/p/d],3,ALB,21,FH,211,FO..PC,10.68280675,10.52145321,10.7505021,10.72359128,11.02509226,10.09913174,9.669672246,10.2513827,10.36851437,10.30648254,10.68786343,10.56439424,10.66511044,10.7562215,10.80485298,10.82850984,10.81336432,10.84042979,10.87855327,10.91205071,10.93941099
ALB_HFCS_FO..PC,Albania,HFCS,Per-capita food consumption [kg/p/d],3,ALB,8,HFCS,211,FO..PC,3.06068E-05,3.07518E-05,3.08215E-05,3.08327E-05,3.08137E-05,3.07866E-05,3.07551E-05,3.07148E-05,3.06711E-05,3.06286E-05,3.05911E-05,3.05623E-05,3.05443E-05,3.0536E-05,3.0535E-05,3.05396E-05,3.05504E-05,3.05691E-05,3.05965E-05,3.06335E-05,3.06809E-05
ALB_MA_FO..PC,Albania,Maize and products,Per-capita food consumption [kg/p/d],3,ALB,1,MA,211,FO..PC,7.214015803,7.292345575,7.294049858,7.311497803,7.307015986,7.300539611,7.337262599,7.342302525,7.375980535,6.940237999,6.975314262,6.997300942,7.022435649,7.046724702,7.07095743,7.094597335,7.117595184,7.14032526,7.163262592,7.186301407,7.210051105
ALB_MK_FO..PC,Albania,Milk and Dairy,Per-capita food consumption [kg/p/d],3,ALB,18,MK,211,FO..PC,36.73408031,36.57738699,36.00370087,36.38036176,36.16384103,36.23947595,36.335732,37.11106321,36.61089806,36.4668662,36.47342892,36.44182655,36.43297274,36.45323216,36.47014443,36.49530489,36.52631541,36.56814876,36.62573353,36.69113175,36.76751322
ALB_OCG_FO..PC,Albania,Other Coarse Grains,Per-capita food consumption [kg/p/d],3,ALB,3,OCG,211,FO..PC,0.000175077,0.0001765,0.00018159,0.000185536,0.000184705,0.00018438,0.000185141,0.000184461,0.00018454,0.000183262,0.000182471,0.000181954,0.000181594,0.000181101,0.000180685,0.000180247,0.000179782,0.000179313,0.000178833,0.000178349,0.000177868
ALB_OOS_FO..PC,Albania,Other Oilseeds,Per-capita food consumption [kg/p/d],3,ALB,10,OOS,211,FO..PC,0.064145569,0.068590458,0.066952404,0.074969102,0.075782483,0.07077049,0.071555905,0.087238013,0.10137748,0.103328894,0.104182145,0.10481721,0.105641894,0.106545403,0.107370394,0.10822308,0.109090664,0.109992807,0.110904339,0.111835975,0.112792058
ALB_PK_FO..PC,Albania,Ovine,Per-capita food consumption [kg/p/d],3,ALB,16,PK,211,FO..PC,6.16757969,6.767644135,6.825254902,7.027805236,6.272956148,6.142758786,6.399371574,6.649802945,6.853557534,6.771349784,6.665789391,6.659833481,6.638306909,6.613678268,6.59059817,6.56232042,6.535313937,6.50829171,6.481297494,6.458824877,6.436006874
ALB_PS_FO..PC,Albania,Pork,Per-capita food consumption [kg/p/d],3,ALB,6,PS,211,FO..PC,9.400700822,9.731515356,7.663374754,7.866378563,7.860212392,7.787334641,7.71953864,7.65565837,7.596978943,7.544587818,7.594234483,7.663541459,7.728281296,7.795764288,7.86357385,7.932003397,8.000251479,8.069488947,8.13847861,8.207669722,8.27770599
ALB_PT_FO..PC,Albania,Poultry,Per-capita food consumption [kg/p/d],3,ALB,17,PT,211,FO..PC,9.600256241,10.20620366,11.08021729,11.21919836,11.99734941,11.86058346,12.13457142,12.82221708,12.73596926,13.16585096,13.42828315,13.625647,13.8286848,14.06114629,14.28850912,14.52455048,14.76316485,15.00314156,15.25282704,15.50494688,15.76209321
ALB_RI_FO..PC,Albania,Pulses,Per-capita food consumption [kg/p/d],3,ALB,4,RI,211,FO..PC,8.229124039,7.833277673,7.677689706,7.870263574,8.162705838,8.029628665,7.743002225,7.788382913,8.068358588,8.043168925,8.100494784,8.161025512,8.22455259,8.283707251,8.342437166,8.402338682,8.461808157,8.522037164,8.583377691,8.646255861,8.70896209
ALB_RT_FO..PC,Albania,Rice and products,Per-capita food consumption [kg/p/d],3,ALB,5,RT,211,FO..PC,10.93235254,10.99145418,10.76929158,10.79990874,10.76864971,10.73118104,10.69417977,10.65650017,10.62004171,10.58621803,10.63441123,10.70069157,10.76682302,10.83544902,10.90216499,10.96867263,11.03206641,11.0969951,11.15911966,11.22228983,11.28341973
ALB_SB_FO..PC,Albania,Roots and Tubers,Per-capita food consumption [kg/p/d],3,ALB,9,SB,211,FO..PC,0.25662085,0.257836672,0.2584212,0.258515135,0.258356096,0.258128336,0.257864077,0.257526225,0.257159728,0.25680398,0.256489224,0.256247958,0.256096978,0.256027376,0.256019127,0.256057707,0.256148106,0.256305054,0.256534567,0.256844804,0.257242492
ALB_SH_FO..PC,Albania,Soybeans,Per-capita food consumption [kg/p/d],3,ALB,15,SH,211,FO..PC,7.135518837,7.709529258,7.85699088,7.73534475,7.719739625,8.031307348,7.960564118,7.999091811,8.049021511,8.223747879,8.232937005,8.185820496,8.179731842,8.171126398,8.159986342,8.14982194,8.139222015,8.134409798,8.13281773,8.132300817,8.136335657
ALB_SU_FO..PC,Albania,Sugar,Per-capita food consumption [kg/p/d],3,ALB,7,SU,211,FO..PC,29.7452728,27.51063083,27.88021875,27.81351951,28.18033877,27.28602207,27.33472741,27.32442664,27.56578491,27.60397421,27.58288253,27.5910047,27.61455237,27.61354528,27.61242282,27.62138409,27.64956795,27.66817173,27.67650115,27.69176393,27.70963303
ALB_VL_FO..PC,Albania,Vegetable Oils,Per-capita food consumption [kg/p/d],3,ALB,12,VL,211,FO..PC,4.227926586,4.271108015,4.089897912,4.310048694,4.24769574,4.378838268,4.680913213,4.543837313,4.934308649,4.946514138,4.943054494,4.981801851,5.026570334,5.073945125,5.119110632,5.161653898,5.206301087,5.251928085,5.298329529,5.345760462,5.393904537
ALB_WT_FO..PC,Albania,Wheat and products,Per-capita food consumption [kg/p/d],3,ALB,2,WT,211,FO..PC,161.1601065,162.1395712,161.6458842,161.1396274,161.3881355,161.484581,160.8413962,161.1067481,157.299234,160.3094109,158.4057739,158.0460752,157.6707852,157.2405655,156.8286337,156.4163159,156.018163,155.6334847,155.2742694,154.9271322,154.6114051
ARE_BT_FO..PC,United Arab Emirates,Bovine,Per-capita food consumption [kg/p/d],225,ARE,19,BT,211,FO..PC,2.480599464,2.185881383,2.221803612,2.189032271,2.602627191,2.518700871,2.435824516,2.722959187,2.4314414,2.386742399,2.419169781,2.421756256,2.421219603,2.421721199,2.422857702,2.423727642,2.423229255,2.421722067,2.419447642,2.416684737,2.413771454
ARE_BV_FO..PC,United Arab Emirates,Butter,Per-capita food consumption [kg/p/d],225,ARE,14,BV,211,FO..PC,11.07471064,11.20040428,11.10684815,11.02548325,11.19483386,11.28839388,11.23363676,11.53837247,11.84386405,11.89225172,12.01103169,12.15914889,12.32183032,12.48222712,12.64088046,12.79649032,12.94625814,13.08603669,13.21131493,13.33534037,13.47014468
ARE_CN_FO..PC,United Arab Emirates,Coconuts,Per-capita food consumption [kg/p/d],225,ARE,11,CN,211,FO..PC,0.12090899,0.115307342,0.11235383,0.111033848,0.110243043,0.10923826,0.107879377,0.106381343,0.104804058,0.103283508,0.101903871,0.100629148,0.099385065,0.098169324,0.096983565,0.0958287,0.094700035,0.09359425,0.092515438,0.091469594,0.090460251
ARE_EG_FO..PC,United Arab Emirates,Eggs,Per-capita food consumption [kg/p/d],225,ARE,20,EG,211,FO..PC,5.421327917,5.017083315,4.902379993,4.726910409,4.820530456,4.652463158,4.811748293,4.720800537,4.686793119,4.667434077,4.641610378,4.642411026,4.636153157,4.627161635,4.622895424,4.615038263,4.605531987,4.593473271,4.581378101,4.56891409,4.555937647
ARE_FH_FO..PC,United Arab Emirates,Fish,Per-capita food consumption [kg/p/d],225,ARE,21,FH,211,FO..PC,26.43148367,25.28727302,29.56329427,29.51537991,31.92052694,29.33281003,29.99949034,30.10750155,31.20194874,31.17161873,32.20071799,32.21273692,32.63570021,33.07272141,33.47095038,33.94315455,34.32500333,34.84534571,35.34840981,35.84074405,36.33291992
ARE_HFCS_FO..PC,United Arab Emirates,HFCS,Per-capita food consumption [kg/p/d],225,ARE,8,HFCS,211,FO..PC,1.552183078,1.480271283,1.442355231,1.425409801,1.415257754,1.402358745,1.384913921,1.365682738,1.345434164,1.325913921,1.308202673,1.291838277,1.275867208,1.260260001,1.245037679,1.230211971,1.215722599,1.201526965,1.187677584,1.174251442,1.161293886
ARE_MA_FO..PC,United Arab Emirates,Maize and products,Per-capita food consumption [kg/p/d],225,ARE,1,MA,211,FO..PC,0.831724582,0.790653024,0.788950009,0.782125215,0.782621598,0.776690899,0.761092395,0.744669401,0.733628409,0.722984554,0.722856349,0.723769108,0.725360318,0.727108741,0.728696055,0.729712771,0.730105439,0.729971563,0.729448959,0.728703511,0.727893991
ARE_MK_FO..PC,United Arab Emirates,Milk and Dairy,Per-capita food consumption [kg/p/d],225,ARE,18,MK,211,FO..PC,9.29441059,9.40146192,10.4215875,9.886053445,10.62954819,10.48709738,10.18796425,10.92249186,9.993393613,9.649696634,9.721018067,9.812742294,9.895393628,9.976456413,10.0658692,10.15122336,10.23312533,10.3112357,10.3882098,10.46474507,10.5415631
ARE_OCG_FO..PC,United Arab Emirates,Other Coarse Grains,Per-capita food consumption [kg/p/d],225,ARE,3,OCG,211,FO..PC,8.84241E-05,7.47288E-05,8.07292E-05,7.63751E-05,7.13136E-05,6.29245E-05,5.71913E-05,6.6546E-05,5.85562E-05,5.39649E-05,5.3813E-05,5.37678E-05,5.37756E-05,5.37831E-05,5.37858E-05,5.37504E-05,5.36702E-05,5.35529E-05,5.34062E-05,5.32447E-05,5.30766E-05
ARE_OOS_FO..PC,United Arab Emirates,Other Oilseeds,Per-capita food consumption [kg/p/d],225,ARE,10,OOS,211,FO..PC,2.9676E-05,3.1133E-05,3.09794E-05,3.14335E-05,3.03071E-05,2.94943E-05,2.91274E-05,2.8723E-05,2.82971E-05,2.78865E-05,2.78742E-05,2.78115E-05,2.78163E-05,2.78462E-05,2.78438E-05,2.78253E-05,2.77852E-05,2.77308E-05,2.76597E-05,2.75809E-05,2.74997E-05
ARE_PK_FO..PC,United Arab Emirates,Ovine,Per-capita food consumption [kg/p/d],225,ARE,16,PK,211,FO..PC,2.255350424,2.124093578,2.221660845,2.390524216,2.558023725,2.155494628,1.993105852,2.005869716,2.245223581,2.162866047,2.133974987,2.107280949,2.081228518,2.055769627,2.03093857,2.00675448,1.983119032,1.959962736,1.937371257,1.915470177,1.894333467
