"iso3","country","nutrient","sev_base","sev_high","sev_delta"
"CRI","Costa Rica","Zinc",3.35947601095177,3.18502247933204,-0.174453531619735
"CUB","Cuba","Calcium",72.5484194500928,72.4591070373613,-0.0893124127314985
"CUB","Cuba","DHA+EPA fatty acids",78.6156912995695,75.7203891041577,-2.8953021954118
"CUB","Cuba","Iron",0.000103185656270048,0.000101751291665169,-1.43436460487894e-06
"CUB","Cuba","Vitamin A",0.00090404002361817,0.00102355591657402,0.000119515892955854
"CUB","Cuba","Vitamin B-12",1.07121047800745,1.03220750941408,-0.0390029685933731
"CUB","Cuba","Zinc",2.1102591805241e-15,2.11612058079897e-15,5.86140027486339e-18
"CYP","Cyprus","Calcium",52.8593816456185,52.5054214977807,-0.353960147837778
"CYP","Cyprus","DHA+EPA fatty acids",4.05978106133055,3.00468688581925,-1.05509417551129
"CYP","Cyprus","Iron",2.51652735624049,2.46355324173098,-0.0529741145095059
"CYP","Cyprus","Vitamin A",30.9723614474978,30.9877515361395,0.0153900886417739
"CYP","Cyprus","Vitamin B-12",0.0937644854584949,0.073823058825901,-0.019941426632594
"CYP","Cyprus","Zinc",0.01001615596052,0.00945449527448818,-0.000561660686031853
"CZE","Czechia","Calcium",52.7694992185939,52.4143404556918,-0.355158762902027
"CZE","Czechia","DHA+EPA fatty acids",4.05978106133055,3.00468688581925,-1.05509417551129
"CZE","Czechia","Iron",2.50769225829503,2.45223577408349,-0.0554564842115321
"CZE","Czechia","Vitamin A",30.6310802378954,30.6464876367473,0.0154073988519621
"CZE","Czechia","Vitamin B-12",0.0937644854584949,0.073823058825901,-0.019941426632594
"CZE","Czechia","Zinc",0.0082519691941852,0.00776698458490169,-0.000484984609283528
"DEU","Germany","Calcium",52.4464188060149,52.0964273824052,-0.349991423609638
"DEU","Germany","DHA+EPA fatty acids",4.05978106133055,3.00468688581925,-1.05509417551129
"DEU","Germany","Iron",2.37602327941843,2.32334114794889,-0.0526821314695381
"DEU","Germany","Vitamin A",30.4960295826981,30.5112781783311,0.0152485956330586
"DEU","Germany","Vitamin B-12",0.0937644854584949,0.073823058825901,-0.019941426632594
"DEU","Germany","Zinc",0.00790564628835072,0.00742459148409137,-0.000481054804259359
"DJI","Djibouti","Calcium",96.277141561974,96.2558291329981,-0.0213124289758742
"DJI","Djibouti","DHA+EPA fatty acids",74.9344629144035,73.7996037804083,-1.13485913399524
"DJI","Djibouti","Iron",5.35949027979961,5.32128832347016,-0.0382019563294451
"DJI","Djibouti","Vitamin A",70.2293274493021,70.1918041272383,-0.0375233220638163
"DJI","Djibouti","Vitamin B-12",23.9220621598473,23.5132336942043,-0.408828465643
"DJI","Djibouti","Zinc",11.9169715976631,11.7717162521446,-0.145255345518576
"DMA","Dominica","Calcium",61.4661233127598,60.877644882396,-0.588478430363808
"DMA","Dominica","DHA+EPA fatty acids",16.7184595684085,11.0912334492912,-5.62722611911737
"DMA","Dominica","Iron",8.5379109253427,8.2566694098815,-0.281241515461209
"DMA","Dominica","Vitamin A",0.0761393264584029,0.0811455376236137,0.0050062111652107
"DMA","Dominica","Vitamin B-12",1.64859368966646,1.31506145425149,-0.333532235414963
"DMA","Dominica","Zinc",6.79987650675715,6.41708345961977,-0.382793047137381
"DNK","Denmark","Calcium",52.1367699122074,51.7881992291373,-0.348570683070092
"DNK","Denmark","DHA+EPA fatty acids",4.05978106133055,3.00468688581925,-1.05509417551129
"DNK","Denmark","Iron",2.60057141651396,2.54324818469342,-0.0573232318205494
"DNK","Denmark","Vitamin A",30.6701779649697,30.6853801510226,0.0152021860528186
"DNK","Denmark","Vitamin B-12",0.0937644854584949,0.073823058825901,-0.019941426632594
"DNK","Denmark","Zinc",0.00867621225735226,0.0081418380011734,-0.000534374256178866
"DOM","Dominican Republic","Calcium",69.040212753073,68.7232290988877,-0.316983654185246
"DOM","Dominican Republic","DHA+EPA fatty acids",48.1371925625664,43.8371503403675,-4.30004222219891
"DOM","Dominican Republic","Iron",5.84271345763628,5.74681863411608,-0.0958948235201941
"DOM","Dominican Republic","Vitamin A",8.0730966147849e-07,1.1479639049436e-06,3.40654243465107e-07
"DOM","Dominican Republic","Vitamin B-12",0.151398913639953,0.14149303513528,-0.00990587850467299
"DOM","Dominican Republic","Zinc",4.30714113840356,4.26407703874442,-0.0430640996591404
"DZA","Algeria","Calcium",43.8530494111947,43.6497181499156,-0.203331261279156
"DZA","Algeria","DHA+EPA fatty acids",52.2186164052615,43.3727562759437,-8.84586012931785
"DZA","Algeria","Iron",0.150325325976942,0.14981001333575,-0.0005153126411914
"DZA","Algeria","Vitamin A",24.5155792820114,24.9722776530361,0.456698371024622
"DZA","Algeria","Vitamin B-12",6.967535444328,6.35926818408954,-0.608267260238468
"DZA","Algeria","Zinc",1.12872199557095,1.13313332385794,0.00441132828699293
"ECU","Ecuador","Calcium",98.925289432525,98.9109857572617,-0.0143036752633503
"ECU","Ecuador","DHA+EPA fatty acids",68.8514191870169,66.2458122231702,-2.60560696384667
"ECU","Ecuador","Iron",11.4083789508474,11.3551239987014,-0.0532549521460379
"ECU","Ecuador","Vitamin A",32.4382354235941,32.8333314360918,0.39509601249774
"ECU","Ecuador","Vitamin B-12",4.02789285443455e-06,3.50296788345537e-06,-5.24924970979184e-07
"ECU","Ecuador","Zinc",1.54801024488204,1.52966394436314,-0.0183463005189034
"EGY","Egypt","Calcium",81.4087393300436,80.5883615166727,-0.82037781337086
"EGY","Egypt","DHA+EPA fatty acids",14.5496597543412,9.53908246565465,-5.01057728868658
"EGY","Egypt","Iron",0.171276368185638,0.15917254774759,-0.0121038204380479
"EGY","Egypt","Vitamin A",0.962422052314684,0.982996935400327,0.0205748830856435
"EGY","Egypt","Vitamin B-12",4.27705080786438e-17,1.07920826537128e-17,-3.19784254249308e-17
"EGY","Egypt","Zinc",0.0321388114285138,0.029281160282826,-0.00285765114568774
"ERI","Eritrea","Calcium",99.2496092821535,99.2491733890407,-0.000435893112842578
"ERI","Eritrea","DHA+EPA fatty acids",88.4797958596309,88.4340325961825,-0.0457632634484364
"ERI","Eritrea","Iron",95.7566308382779,95.754909353822,-0.00172148445586941
"ERI","Eritrea","Vitamin A",90.7734736319909,90.7734042768638,-6.93551270661175e-05
"ERI","Eritrea","Vitamin B-12",89.5299260210162,89.512449162142,-0.0174768588742204
"ERI","Eritrea","Zinc",95.1854027082267,95.1834331739816,-0.00196953424507349
"ESH","Western Sahara","Calcium",97.0996023732889,97.0996023161604,-5.71285120543053e-08
"ESH","Western Sahara","DHA+EPA fatty acids",94.5815759137788,94.5815726293206,-3.28445817056415e-06
"ESH","Western Sahara","Iron",99.3884049380005,99.3884049386177,6.17188433693627e-10
"ESH","Western Sahara","Vitamin A",92.775778589463,92.775778588022,-1.44104959076685e-09
"ESH","Western Sahara","Vitamin B-12",84.2857396153506,84.2857393039532,-3.11397405994285e-07
"ESH","Western Sahara","Zinc",99.2480592794551,99.2480592897948,1.03396658346355e-08
"ESP","Spain","Calcium",53.0442591583344,52.6926860448552,-0.351573113479197
